derivative,score,label
vicechief,0.8333333333333334,0
geneneral,1.0,1
rakeishness,1.0,1
virgilism,1.0,1
underemployed,0.8678571428571429,0
hawkster,1.0,1
filmish,0.85,0
inquizive,1.0,1
onesizeless,1.0,1
dramaticalism,1.0,1
rainyish,0.8,0
leonish,1.0,1
tuckfully,1.0,1
semipoetic,0.65,0
proprint,0.7682926829268293,0
nonbombing,1.0,1
moonor,0.6666666666666666,0
patheticic,0.0,0
supervintage,1.0,1
overexamine,0.7777777777777778,0
camperee,1.0,1
posttheory,0.6666666666666666,0
relationnship,1.0,1
pseudoresearched,0.3333333333333333,0
extradisposable,1.0,1
modeish,1.0,1
outfairbanks,1.0,1
uncupped,0.5,0
cockerly,1.0,1
preeliza,1.0,1
undertimed,1.0,1
shotgunlet,1.0,1
johannness,0.0,0
pseudonatural,0.8571428571428571,0
protagonistsan,1.0,1
outshriek,1.0,1
noncaliber,1.0,1
countertrick,0.75,0
personially,1.0,1
overdramatically,0.5625,0
semifrustratingly,1.0,1
campaignwise,0.8,0
outrebounded,0.8333333333333334,0
unirritating,0.8,0
builden,1.0,1
evolutionist,0.7900552486187845,0
supermegaultrapowerful,1.0,1
chaptersee,0.0,0
ungrouped,0.6521739130434783,0
extrawater,0.0,0
breakdownor,1.0,1
corecourse,1.0,1
micheler,1.0,1
supermarathon,1.0,1
resubmit,0.4362880886426593,0
sendication,1.0,1
semidomesticate,1.0,1
ultrastreet,1.0,1
overguessed,0.5,0
finanally,0.6842105263157895,0
unfortunes,1.0,1
semikeys,1.0,1
keenyan,1.0,1
contramelodies,0.0,0
supertroop,0.0,0
rebert,1.0,1
finlander,0.85,0
neonaturalist,1.0,1
recipientan,1.0,1
megaprotestant,1.0,1
antibruce,0.5,0
coreleone,1.0,1
dynastyism,1.0,1
marionish,0.0,0
groundish,1.0,1
interlinguistic,1.0,1
unforetold,1.0,1
strictially,0.0,0
inexclusive,1.0,1
recessive,0.8138801261829653,0
enameller,1.0,1
pseudoeconomist,0.0,0
effortfully,0.8636363636363636,0
insinker,0.5,0
megaprints,1.0,1
proherb,0.0,0
maximumise,1.0,1
depresing,0.6551724137931034,0
dresserer,1.0,1
exsmartphone,1.0,1
semiunhappy,1.0,1
megastat,0.4,0
citity,0.0,0
seattlean,1.0,1
showcasable,1.0,1
generatational,1.0,1
arrogantish,1.0,1
inmassachusetts,1.0,1
neobeats,1.0,1
outsolo,1.0,1
poststructuralist,0.8558758314855875,0
dedicational,0.75,0
nonworldwide,0.0,0
realify,1.0,1
nonsuperstat,1.0,1
superinnocent,0.6666666666666666,0
antifactory,0.0,0
predesktop,0.6666666666666666,0
treelet,0.6666666666666666,0
nonnapkin,1.0,1
ultraroomy,1.0,1
cedarish,1.0,1
pollutionwise,1.0,1
antiants,1.0,1
uncounting,1.0,1
cocovery,1.0,1
sororan,1.0,1
multidesign,1.0,1
autoextending,1.0,1
ironicism,1.0,1
misreferred,0.3333333333333333,0
overreligious,0.6764705882352942,0
experimentive,1.0,1
cereally,1.0,1
huffiness,0.7777777777777778,0
agential,1.0,1
postfurnace,1.0,1
semicatholic,1.0,1
precarl,1.0,1
argumentless,0.5,0
autoretractor,0.75,0
semifringe,0.6666666666666666,0
shapesee,1.0,1
postrodney,0.84,0
misrotated,0.5,0
pregrouping,1.0,1
supergarment,1.0,1
unfindable,0.7142857142857143,0
chewyer,0.625,0
antipilgrimage,1.0,1
singlely,0.8571428571428571,0
buffettable,0.5,0
misstalkenly,1.0,1
presimulation,1.0,1
semibrother,0.6666666666666666,0
underserviced,0.7,0
postdecommissioning,1.0,1
nondakota,1.0,1
indemonstrating,1.0,1
usability,0.7744232623692604,0
guisement,1.0,1
deincourt,1.0,1
superweapon,0.7579185520361991,0
easerer,1.0,1
organizeer,1.0,1
derivite,0.5,0
impericism,1.0,1
fleshish,1.0,1
overread,0.8505747126436781,0
rightsy,0.75,0
malely,1.0,1
igoran,1.0,1
tunneller,1.0,1
anywhereee,0.8333333333333334,0
outnature,1.0,1
subsilly,1.0,1
nonnemesisish,0.0,0
offeringor,1.0,1
overstylistic,1.0,1
malfaction,0.6666666666666666,0
prolifer,0.8181818181818182,0
hyperdiscs,0.0,0
desparage,0.6666666666666666,0
poorable,0.5,0
systemsy,1.0,1
unsufficient,0.42857142857142855,0
spottiness,0.7676767676767676,0
multitail,1.0,1
inventy,1.0,1
antitumoral,0.5,0
nonpolitic,1.0,1
antimule,1.0,1
punkian,1.0,1
semijazzy,1.0,1
mistreats,0.7743243243243243,0
castor,0.8567262830482115,0
crappyness,0.22857142857142856,0
outstar,0.5,0
agileness,1.0,1
holesan,1.0,1
takesee,1.0,1
exalton,1.0,1
sonicy,0.75,0
unmelodic,0.5571428571428572,0
nonaromatic,0.7692307692307693,0
nonbased,0.5,0
pierer,1.0,1
weeky,0.8709677419354839,0
nonbernhardian,1.0,1
noncapitol,0.75,0
imsport,1.0,1
preinstructional,0.5,0
ultraclass,0.75,0
absolutantly,1.0,1
overtightened,0.7205882352941176,0
hilaryous,1.0,1
indianor,1.0,1
cubeness,1.0,1
semijournal,0.8571428571428571,0
pregarden,1.0,1
inprinted,0.7894736842105263,0
semimathematical,1.0,1
superavid,1.0,1
ungalant,1.0,1
autographic,0.88,0
frontierism,1.0,1
ultrafascist,1.0,1
nonsolant,1.0,1
demimarried,1.0,1
subarthur,0.0,0
contraproductive,0.4,0
inbreed,0.7105263157894737,0
levelsless,1.0,1
endural,0.3333333333333333,0
subtleny,1.0,1
instantanously,1.0,1
postprotest,0.5,0
phrasess,0.6666666666666666,0
nonfuneral,1.0,1
nonrelatable,0.42105263157894735,0
thanksgivingy,1.0,1
minirevision,1.0,1
squeakable,0.5652173913043478,0
overillustrates,1.0,1
brokey,0.2,0
preboating,1.0,1
irreasonable,0.0,0
nonspace,0.8351648351648352,0
dimeable,0.8333333333333334,0
overimpressing,0.0,0
fiddley,0.8054298642533937,0
centrialize,1.0,1
postdarwinist,1.0,1
unneedlesy,0.0,0
merage,1.0,1
warwickshirean,1.0,1
bingoy,1.0,1
triaxis,0.8454545454545455,0
miniinflatable,1.0,1
polyamorousor,1.0,1
grimerer,1.0,1
minitrauma,1.0,1
inbringing,1.0,1
unreturn,0.0,0
professorate,0.8695652173913043,0
controversyan,1.0,1
determ,1.0,1
irregularry,0.5,0
davidor,1.0,1
complexan,1.0,1
oversuperenhanced,1.0,1
overflusher,1.0,1
unconsidered,0.8831168831168831,0
sherryal,1.0,1
contraverse,0.0,0
excellentyly,1.0,1
prodamon,1.0,1
overregulates,1.0,1
locatedness,0.8571428571428571,0
interestingy,0.6666666666666666,0
postrailroad,1.0,1
rockwise,0.7142857142857143,0
insolos,1.0,1
cleanee,0.8333333333333334,0
dysfunctionnal,1.0,1
titleship,1.0,1
forefeels,1.0,1
jerusaleman,1.0,1
nonmeet,0.0,0
exsecretaries,1.0,1
ultraconfederate,1.0,1
exclusionism,0.8181818181818182,0
liary,1.0,1
tricard,1.0,1
bidyke,1.0,1
pavementish,1.0,1
superfishally,1.0,1
prevertigo,1.0,1
hyperfluid,0.6666666666666666,0
heartslet,1.0,1
preboring,1.0,1
probastion,1.0,1
countermarket,1.0,1
formalic,0.5,0
requalification,1.0,1
pantsish,0.4,0
protalk,0.7647058823529411,0
undrowned,1.0,1
centennially,1.0,1
particularyy,1.0,1
pseudoepisodic,1.0,1
semiblindly,0.8666666666666667,0
exvantage,1.0,1
exagency,0.6666666666666666,0
preoperate,1.0,1
ultratraditionalist,0.7142857142857143,0
evolvementor,1.0,1
overflipped,1.0,1
averagean,1.0,1
redeform,1.0,1
unadjust,0.8125,0
accessoriesee,1.0,1
defaceable,0.0,0
undersupplies,0.0,0
undertranslate,1.0,1
hyperrelativism,1.0,1
solarist,1.0,1
overmelted,0.6666666666666666,0
superconfused,1.0,1
irresistingly,1.0,1
multipercussionist,1.0,1
neopuntian,1.0,1
nonvincent,1.0,1
superyelling,1.0,1
overtheoretical,0.6666666666666666,0
dethreads,0.6666666666666666,0
piratesship,1.0,1
minicreations,1.0,1
antigift,1.0,1
likenable,1.0,1
