derivative,score,label
contradefined,1.0,1
semisink,1.0,1
coseparating,1.0,1
remodal,1.0,1
nondisky,0.0,0
intrabinder,1.0,1
declassifications,1.0,1
pseudoverification,1.0,1
countercharges,0.0,0
undeclining,1.0,1
prestory,1.0,1
scalelessness,0.0,0
subseller,1.0,1
subexplosive,0.0,0
intraslip,0.0,0
intercite,0.0,0
decompositionsan,1.0,1
subshadow,1.0,1
semivaluation,1.0,1
exadaptation,1.0,1
nonpatents,1.0,1
postcosmic,0.0,0
refernal,1.0,1
dormation,0.0,0
componentsfully,0.0,0
nonblockwise,1.0,1
dominatessee,0.0,0
provincialness,0.0,0
inlate,0.0,0
antiprobing,1.0,1
underengagement,1.0,1
sidedish,1.0,1
comodel,0.9851116625310173,1
coreception,1.0,1
storageic,0.0,0
antisharing,1.0,1
intrafamilies,1.0,1
nondeterminically,1.0,1
expressivess,1.0,1
copositions,0.0,0
intraclouds,0.0,0
reshall,0.0,0
hypercoboundary,0.0,0
intrasolver,0.0,0
semiatomistic,0.0,0
monochaotic,0.0,0
parameteror,0.0,0
repreimproved,1.0,1
pseudodownstream,0.0,0
nonsender,1.0,1
prodecision,1.0,1
intersecurity,1.0,1
multiaspect,0.9790252930289944,1
hyperoperator,0.0,0
suggestial,1.0,1
multirouter,1.0,1
imreplace,0.0,0
preirradiated,0.0,0
overoccurance,1.0,1
miniwalls,0.0,0
prelaid,1.0,1
noninstantenous,0.0,0
recoiltagged,0.0,0
civilly,1.0,1
unfaded,0.9407407407407408,1
indenumberable,0.0,0
cofind,0.0,0
contrastring,0.0,0
modelistic,0.0,0
antirebound,0.0,0
hyperstrongly,0.0,0
artsy,0.925,1
inseasoned,1.0,1
unconditionly,1.0,1
pseudoswitches,1.0,1
superclick,1.0,1
automoment,1.0,1
polymatic,0.0,0
monoportite,0.0,0
autonomousity,1.0,1
inviolet,1.0,1
prebranches,0.0,0
nonskeletons,0.0,0
pseudotyping,0.0,0
subconsistent,1.0,1
machal,1.0,1
nonleaving,1.0,1
minimalconnecting,1.0,1
detables,1.0,1
prophenomena,0.0,0
semicautious,1.0,1
overscribe,0.0,0
subspine,1.0,1
cotemperatures,0.0,0
immoment,0.0,0
instantanly,1.0,1
reapproached,0.0,0
outcites,1.0,1
subtruths,1.0,1
decoderless,1.0,1
clitic,1.0,1
antihash,1.0,1
reknots,0.0,0
semiforbiden,0.0,0
repreresults,0.0,0
autopositive,1.0,1
intelescope,0.0,0
prenote,0.0,0
holeor,0.0,0
imbordering,0.0,0
nonfrozenness,0.0,0
interdiffusive,0.0,0
coderive,1.0,1
unexpression,0.0,0
actonian,0.0,0
antiliberty,0.0,0
receptional,1.0,1
trueage,0.0,0
nonantiparallelity,0.0,0
minihole,0.0,0
interculturalism,1.0,1
postboard,1.0,1
overvelocity,0.0,0
inregrand,0.0,0
subregionswise,1.0,1
multibottom,0.0,0
interscanning,1.0,1
antiinverse,0.0,0
outsimilarities,1.0,1
prefiguratively,1.0,1
interframe,0.8982300884955752,1
pseudoweakly,0.0,0
subcorotational,0.0,0
prequantitative,0.0,0
nonrareness,1.0,1
misvalued,0.0,0
satisfactionage,1.0,1
pseudotypical,1.0,1
systemmany,1.0,1
intercrystallite,0.0,0
nonexplorable,1.0,1
exmonopole,0.0,0
formationage,0.0,0
protoopen,0.0,0
intraappearance,1.0,1
prountargeted,1.0,1
explanable,0.9,1
noninstructed,1.0,1
privilegedly,0.0,0
coissuing,1.0,1
reconsumption,0.9230769230769231,1
planeage,0.0,0
exitify,1.0,1
subspecialtyness,1.0,1
prereactions,0.0,0
subdollar,1.0,1
rethreads,1.0,1
antiscenario,1.0,1
nondisadvantageous,1.0,1
purelyy,0.0,0
nonpopulous,0.0,0
excutability,1.0,1
transgauge,0.0,0
transtypes,1.0,1
miniweek,0.0,0
charal,0.0,0
pseudoattractor,0.0,0
unrecastable,0.0,0
subfiled,1.0,1
monopeak,0.0,0
variableless,1.0,1
copriority,0.9696969696969697,1
nonpromoting,1.0,1
resimplify,1.0,1
generaling,0.0,0
informationany,0.0,0
nondeverbal,1.0,1
nonspoiler,1.0,1
corefossil,0.0,0
trirelational,1.0,1
corehelium,0.0,0
subtrips,1.0,1
interpinning,0.0,0
noncommunicativeness,0.0,0
noncompiler,1.0,1
exspecies,0.0,0
infinitismal,0.0,0
dyingor,0.0,0
intervial,0.0,0
automagical,0.0,0
responseor,0.0,0
budgeneral,1.0,1
transcritically,0.0,0
dearriving,0.0,0
posttumbling,0.0,0
statisty,0.0,0
quiverize,0.0,0
reloosen,0.0,0
illena,0.0,0
saliceny,1.0,1
nonactivists,1.0,1
subspin,0.0,0
codetests,0.0,0
minibeta,0.0,0
instatistics,0.0,0
minishock,0.0,0
dehypergraph,1.0,1
emissionan,0.0,0
interarrival,0.9202542939995538,1
favorablely,1.0,1
previewable,1.0,1
articlesee,0.0,0
nonplurality,1.0,1
cameraor,1.0,1
semirapid,0.0,0
multicounterparts,0.0,0
liberalist,0.0,0
autonoise,0.0,0
instructorless,1.0,1
bibracket,0.0,0
involvess,0.0,0
deblur,0.970873786407767,1
codealphabet,0.0,0
biangularity,1.0,1
pseudomeasures,0.0,0
mediaite,1.0,1
debalance,0.0,0
prehiatus,0.0,0
unservice,1.0,1
hyperrealistic,0.95,1
leafish,1.0,1
pseudosyndrome,0.0,0
underexperimentation,1.0,1
proactiveness,0.9703703703703703,1
bihair,0.0,0
respent,0.0,0
bifollow,1.0,1
unrecovable,1.0,1
partitionment,0.0,0
trimerize,0.0,0
pseudoartifact,0.0,0
procalculated,0.0,0
innear,0.0,0
scopeany,1.0,1
outtrail,0.0,0
interconnectless,0.0,0
semisemiclassical,0.0,0
daten,0.0,0
morphologicallly,0.0,0
dimenable,0.0,0
fillling,0.0,0
nonparadox,0.0,0
presquare,0.0,0
constructionan,1.0,1
coshuffle,0.0,0
unbought,1.0,1
prerenumbered,1.0,1
reintensification,0.0,0
minihierarchy,0.0,0
memorableness,1.0,1
comparate,0.0,0
pseudolobe,0.0,0
undances,0.0,0
subsubmoons,0.0,0
superelectron,0.0,0
preimperial,0.0,0
multibutterfly,0.8947368421052632,1
inclemens,1.0,1
preflushing,0.0,0
intratransponder,1.0,1
expressionability,1.0,1
sulfatic,0.0,0
nestify,1.0,1
undepredicting,0.0,0
pseudorapity,0.0,0
bitoni,1.0,1
issuesability,1.0,1
sinkless,0.996875,1
antivisible,1.0,1
postverbal,0.9166666666666666,1
corecover,0.0,0
agileness,1.0,1
repreregion,0.0,0
monobased,1.0,1
tidalage,0.0,0
structurely,0.0,0
pseudoreactor,0.0,0
claimedor,0.0,0
recomponent,0.0,0
antispatial,0.0,0
curerate,1.0,1
syntheticially,1.0,1
multicontent,1.0,1
graphsage,1.0,1
pseudointerstellar,0.0,0
droppable,0.9545454545454546,1
minimalcontext,1.0,1
hobbyist,0.88,1
reflare,0.0,0
establishmentment,1.0,1
exconsider,1.0,1
matureage,0.0,0
normalal,0.0,0
southwise,1.0,1
testity,0.0,0
comuse,1.0,1
multisensoral,1.0,1
nonarchitecturally,1.0,1
expandong,0.0,0
antirelatedness,1.0,1
transenhanced,0.0,0
nonimmigrants,1.0,1
nonparadise,0.0,0
insynchronized,1.0,1
reladder,0.0,0
postsemiclassical,0.0,0
indevarious,0.0,0
prewounded,0.0,0
pseudomodes,0.0,0
kevinling,1.0,1
oracleless,1.0,1
distinctivity,1.0,1
nonseriality,1.0,1
mismedication,1.0,1
coreurban,0.0,0
exactally,0.0,0
feastance,0.0,0
performany,1.0,1
fivewise,1.0,1
semibundle,1.0,1
autoconstructive,1.0,1
reimager,0.0,0
codominated,0.0,0
dealation,1.0,1
graphistan,1.0,1
trifundamental,0.0,0
earlierly,0.0,0
recurt,1.0,1
relationsize,1.0,1
elementship,1.0,1
charality,0.0,0
ventity,1.0,1
reinreward,1.0,1
applical,0.0,0
pseudoplatic,0.0,0
nonrepetive,1.0,1
reoutput,1.0,1
physicslet,0.0,0
subhull,1.0,1
pseudoexdrawn,0.0,0
subsemiclassical,0.0,0
stiler,1.0,1
overimplanted,0.0,0
pseudoavoided,0.0,0
preslowly,0.0,0
extratasks,1.0,1
coreform,1.0,1
outfuture,0.0,0
vibrationwise,0.0,0
superretailer,1.0,1
evaluatate,0.0,0
pseudotopics,1.0,1
semiinformal,0.9166666666666666,1
transforerated,1.0,1
infinitity,0.0,0
intermatic,1.0,1
bifluidic,0.0,0
dethronize,0.0,0
happyness,1.0,1
derevaluation,0.0,0
multiablation,0.0,0
preforged,0.0,0
filtersan,1.0,1
multiworker,0.9761904761904762,1
roboticsan,1.0,1
pretermalize,0.0,0
minibatch,0.9769400615262479,1
coordinatorless,1.0,1
pseudohermitian,0.0,0
thoughtor,0.0,0
borny,0.0,0
youngward,0.0,0
extracrystalline,0.0,0
semireling,1.0,1
infacilitating,1.0,1
profundly,0.0,0
posese,1.0,1
unoblique,0.0,0
expanlarger,0.0,0
ladderwise,0.0,0
hyperbutton,1.0,1
imparallel,1.0,1
codeprototypes,1.0,1
batchor,1.0,1
transevent,0.0,0
proevidence,0.0,0
multisemirational,0.0,0
transorbit,0.0,0
coteaching,0.9395770392749244,1
multibarrier,0.0,0
respectivively,0.0,0
subspike,0.0,0
prefixation,0.9916666666666667,1
subcodeblock,1.0,1
subphasess,1.0,1
autoprototyping,1.0,1
upscaleable,0.0,0
monocharged,0.0,0
inindependently,0.0,0
unaccepting,1.0,1
smallage,0.0,0
megaoutburst,0.0,0
advisery,0.0,0
exhalf,0.0,0
underdiagnosis,0.9552238805970149,1
misreceived,1.0,1
immenseness,1.0,1
cocreatively,1.0,1
coshifts,1.0,1
postobservations,0.0,0
autoneutralize,0.0,0
coredisc,0.0,0
bitechnical,0.0,0
batterylessly,1.0,1
transreversal,1.0,1
rerotator,0.0,0
decall,0.0,0
politicswise,0.0,0
nondamp,1.0,1
ultrahazard,0.0,0
foamyness,0.0,0
foregiven,0.0,0
expenseive,0.0,0
countsany,1.0,1
nearesthood,0.0,0
devicean,0.0,0
indejoint,0.0,0
multicompton,0.0,0
fitnessor,1.0,1
